iter	Logloss
0	0.6479456096
1	0.6008501593
2	0.5634291004
3	0.5314786269
4	0.5000941212
5	0.4724265578
6	0.4478186967
7	0.4240069323
8	0.4029615539
9	0.3829057667
10	0.3658869174
11	0.3520771036
12	0.3385874646
13	0.3261831177
14	0.3112134637
15	0.3005147958
16	0.2916639772
17	0.2836914049
18	0.2757775266
19	0.2670493479
20	0.2605087557
21	0.2547346981
22	0.2489134467
23	0.2443537637
24	0.238989663
25	0.2350566895
26	0.2317677963
27	0.2285537601
28	0.2254765281
29	0.2214015511
30	0.2187542206
31	0.216777581
32	0.2146143724
33	0.2115212042
34	0.209210112
35	0.2066980258
36	0.2047467915
37	0.2028787387
38	0.201404927
39	0.1991200334
40	0.1975104174
41	0.1960216871
42	0.1949122019
43	0.1935876193
44	0.1922374624
45	0.190911034
46	0.1901095786
47	0.1888895067
48	0.1872979194
49	0.1860689453
50	0.18506109
51	0.184102319
52	0.1831818278
53	0.1823461258
54	0.1818165786
55	0.1812558866
56	0.1805173736
57	0.1796637011
58	0.1787606837
59	0.1781563298
60	0.1774137481
61	0.1768418711
62	0.176334673
63	0.1757762633
64	0.1752235314
65	0.1748378859
66	0.1743011577
67	0.1738782983
68	0.173477212
69	0.1731061402
70	0.1726187514
71	0.1721700169
72	0.1716483761
73	0.1711926285
74	0.1707206479
75	0.1704474554
76	0.1700616998
77	0.1697357138
78	0.1694883935
79	0.1690880779
80	0.1687120413
81	0.1684280126
82	0.1681383859
83	0.1678726833
84	0.1676221906
85	0.1674103613
86	0.1671562095
87	0.1666276466
88	0.1664669318
89	0.1660350698
90	0.1657848565
91	0.1655954511
92	0.1652444744
93	0.1649501708
94	0.1645706105
95	0.1643778893
96	0.1641518712
97	0.1639570974
98	0.1635545504
99	0.1633963774
100	0.1631434411
101	0.1630057657
102	0.1627171612
103	0.1624366442
104	0.1621088638
105	0.1618354119
106	0.1615518254
107	0.1614386227
108	0.1613640029
109	0.1611129962
110	0.1610478435
111	0.1607318302
112	0.1604339836
113	0.1602691134
114	0.1601306016
115	0.1598908705
116	0.1596650261
117	0.1594412242
118	0.1592182563
119	0.1589674134
120	0.1586991535
121	0.1585127651
122	0.1583582034
123	0.1581982501
124	0.1580759928
125	0.1579067575
126	0.1577093195
127	0.1573707513
128	0.1573125345
129	0.1570679215
130	0.1568251102
131	0.1567506719
132	0.1564173644
133	0.15617228
134	0.1560803116
135	0.1556872236
136	0.155404471
137	0.1552705506
138	0.155130394
139	0.1549142444
140	0.154651267
141	0.1544163456
142	0.1543412388
143	0.154243612
144	0.1540463087
145	0.153987744
146	0.15381711
147	0.1535466137
148	0.1533286719
149	0.1531323172
150	0.1530348195
151	0.1530091669
152	0.1528961582
153	0.1527084363
154	0.1525986774
155	0.1525309436
156	0.1523363396
157	0.1522511762
158	0.1521039987
159	0.152023349
160	0.1517238168
161	0.1514572615
162	0.1510864681
163	0.1509106667
164	0.1506413412
165	0.1504893237
166	0.1502971944
167	0.1500736582
168	0.1499132147
169	0.1496674029
170	0.149387416
171	0.1492363334
172	0.149105871
173	0.1489614963
174	0.1488102148
175	0.1487310233
176	0.148573506
177	0.1484270057
178	0.1483710591
179	0.1481047469
180	0.1479051143
181	0.1477745833
182	0.1475787578
183	0.1475049185
184	0.1473482289
185	0.1470592185
186	0.1468153813
187	0.1467219973
188	0.1465857357
189	0.1464784801
190	0.146427455
191	0.1460994916
192	0.1460499953
193	0.1458544242
194	0.1457804877
195	0.1455526985
196	0.1452510827
197	0.1451283839
198	0.1450589935
199	0.1449676284
200	0.1447447615
201	0.1445723821
202	0.1444577445
203	0.1443747739
204	0.1441918114
205	0.1440326089
206	0.1438897978
207	0.1437605045
208	0.1435914817
209	0.1435364299
210	0.1434438777
211	0.1432519732
212	0.1431027315
213	0.1429813535
214	0.1427322053
215	0.1426236028
216	0.1424985034
217	0.142344187
218	0.14216443
219	0.1420928087
220	0.1418595885
221	0.1416559073
222	0.1415299362
223	0.1413288708
224	0.141191111
225	0.1409153647
226	0.1407978864
227	0.1406379348
228	0.1404270569
229	0.140251751
230	0.1401493278
231	0.1400646609
232	0.1400168248
233	0.1399771983
234	0.1397226448
235	0.139496283
236	0.1393468757
237	0.1392495651
238	0.1389995765
239	0.1387677139
240	0.1384838148
241	0.1384344584
242	0.1382585244
243	0.138115655
244	0.1379685192
245	0.1377954157
246	0.1375004578
247	0.1373969601
248	0.1371448465
249	0.1369954765
