iter	Passed	Remaining
0	52	26308
1	53	13330
2	54	8982
3	54	6809
4	55	5519
5	56	4657
6	57	4032
7	57	3561
8	58	3197
9	59	2905
10	59	2665
11	60	2466
12	61	2299
13	62	2153
14	62	2028
15	63	1918
16	64	1820
17	64	1735
18	65	1658
19	66	1587
20	66	1524
21	67	1467
22	68	1416
23	68	1367
24	69	1323
25	70	1282
26	70	1243
27	71	1207
28	72	1174
29	73	1144
30	73	1115
31	74	1087
32	75	1061
33	75	1037
34	76	1014
35	77	992
36	77	971
37	78	954
38	79	935
39	79	917
40	80	901
41	81	885
42	81	871
43	82	856
44	83	842
45	84	831
46	84	818
47	85	805
48	86	793
49	86	781
50	87	771
51	88	760
52	88	750
53	89	740
54	90	731
55	91	723
56	92	716
57	93	709
58	93	701
59	94	692
60	95	684
61	95	677
62	96	669
63	97	661
64	97	654
65	98	648
66	99	642
67	100	635
68	100	629
69	101	623
70	102	617
71	102	611
72	103	605
73	104	599
74	104	593
75	105	588
76	106	582
77	106	577
78	107	572
79	108	568
80	108	563
81	109	558
82	110	554
83	110	549
84	111	545
85	112	540
86	113	536
87	113	532
88	114	528
89	115	524
90	115	520
91	116	516
92	117	512
93	117	509
94	118	505
95	119	501
96	119	498
97	120	494
98	121	491
99	122	488
100	122	484
101	123	482
102	124	478
103	124	475
104	125	472
105	126	469
106	126	466
107	127	463
108	128	460
109	129	457
110	129	454
111	130	452
112	131	449
113	131	446
114	132	443
115	133	440
116	133	438
117	134	435
118	135	435
119	136	432
120	137	430
121	138	427
122	138	425
123	139	422
124	140	420
125	140	417
126	141	415
127	142	413
128	142	411
129	143	408
130	144	406
131	145	404
132	145	401
133	146	399
134	147	397
135	147	395
136	148	393
137	149	391
138	149	389
139	150	387
140	151	384
141	151	382
142	152	380
143	153	378
144	154	377
145	154	375
146	155	373
147	156	371
148	156	369
149	157	367
150	158	365
151	158	363
152	159	361
153	160	359
154	160	358
155	161	356
156	162	354
157	162	352
158	163	350
159	164	348
160	164	347
161	165	345
162	166	343
163	166	341
164	167	340
165	168	338
166	168	336
167	169	335
168	170	333
169	171	331
170	171	330
171	172	328
172	173	327
173	173	325
174	174	324
175	175	322
176	175	321
177	176	319
178	177	317
179	177	316
180	178	314
181	179	313
182	180	311
183	180	310
184	181	309
185	182	307
186	182	306
187	183	304
188	184	303
189	184	301
190	185	300
191	186	299
192	187	297
193	187	296
194	188	294
195	189	293
196	190	292
197	190	290
198	191	289
199	192	288
200	192	287
201	193	285
202	194	284
203	195	282
204	195	281
205	196	280
206	197	278
207	197	277
208	198	276
209	199	275
210	199	273
211	200	272
212	201	271
213	201	269
214	202	268
215	203	267
216	203	266
217	204	264
218	205	263
219	206	262
220	206	261
221	207	259
222	208	258
223	208	257
224	209	255
225	210	254
226	210	253
227	211	252
228	212	251
229	212	250
230	213	248
231	214	247
232	215	246
233	215	245
234	216	244
235	217	242
236	217	241
237	218	240
238	219	239
239	219	238
240	220	237
241	221	235
242	221	234
243	222	233
244	223	232
245	224	231
246	224	230
247	225	229
248	226	227
249	226	226
250	227	225
251	228	224
252	228	223
253	229	222
254	230	221
255	231	220
256	232	219
257	232	218
258	233	217
259	234	216
260	234	215
261	235	214
262	236	212
263	237	211
264	237	210
265	238	209
266	239	208
267	239	207
268	240	206
269	241	205
270	241	204
271	242	203
272	243	202
273	244	201
274	244	200
275	245	199
276	246	198
277	247	197
278	247	196
279	248	195
280	249	194
281	249	193
282	250	192
283	251	191
284	251	190
285	252	188
286	253	187
287	253	186
288	254	186
289	255	184
290	256	183
291	256	182
292	257	181
293	258	181
294	259	180
295	259	179
296	260	178
297	261	176
298	261	175
299	262	174
300	263	173
301	263	172
302	264	171
303	265	171
304	266	170
305	266	169
306	267	168
307	268	167
308	268	166
309	269	165
310	270	164
311	270	163
312	271	162
313	272	161
314	273	160
315	273	159
316	274	158
317	275	157
318	275	156
319	276	155
320	277	154
321	277	153
322	278	152
323	279	151
324	279	150
325	280	149
326	281	148
327	282	147
328	282	146
329	283	145
330	284	145
331	284	144
332	285	143
333	286	142
334	287	141
335	287	140
336	288	139
337	289	138
338	289	137
339	290	136
340	291	135
341	292	134
342	292	133
343	293	133
344	294	132
345	294	131
346	295	130
347	296	129
348	296	128
349	297	127
350	298	126
351	298	125
352	299	124
353	300	123
354	301	122
355	301	122
356	302	121
357	303	120
358	303	119
359	304	118
360	305	117
361	305	116
362	306	115
363	307	114
364	307	113
365	308	112
366	309	112
367	309	111
368	310	110
369	311	109
370	311	108
371	312	107
372	313	106
373	314	105
374	314	104
375	315	104
376	316	103
377	316	102
378	317	101
379	318	100
380	318	99
381	319	98
382	320	97
383	321	96
384	321	96
385	322	95
386	323	94
387	323	93
388	324	92
389	325	91
390	326	91
391	327	90
392	328	89
393	328	88
394	329	87
395	330	86
396	330	85
397	331	84
398	332	84
399	332	83
400	333	82
401	334	81
402	334	80
403	335	79
404	336	78
405	337	78
406	337	77
407	338	76
408	339	75
409	339	74
410	340	73
411	341	72
412	341	72
413	342	71
414	343	70
415	344	69
416	344	68
417	345	67
418	346	66
419	346	66
420	347	65
421	348	64
422	348	63
423	349	62
424	350	61
425	350	60
426	351	60
427	352	59
428	353	58
429	353	57
430	354	56
431	355	55
432	355	55
433	356	54
434	357	53
435	357	52
436	358	51
437	359	50
438	360	50
439	360	49
440	361	48
441	362	47
442	362	46
443	363	45
444	364	45
445	364	44
446	365	43
447	366	42
448	367	41
449	367	40
450	368	40
451	369	39
452	369	38
453	370	37
454	371	36
455	372	35
456	372	35
457	373	34
458	374	33
459	374	32
460	375	31
461	376	30
462	376	30
463	377	29
464	378	28
465	378	27
466	379	26
467	380	26
468	381	25
469	381	24
470	382	23
471	383	22
472	383	21
473	384	21
474	385	20
475	385	19
476	386	18
477	387	17
478	388	17
479	388	16
480	389	15
481	390	14
482	390	13
483	391	12
484	392	12
485	392	11
486	393	10
487	394	9
488	394	8
489	395	8
490	396	7
491	397	6
492	397	5
493	398	4
494	399	4
495	400	3
496	400	2
497	401	1
498	402	0
499	402	0
