CDS	COUNTY	DISTRICT	SCHOOL	LC	LANGUAGE	GR_TK	GR_KN	GR_1	GR_2	GR_3	GR_4	GR_5	GR_6	GR_7	GR_8	GR_9	GR_10	GR_11	GR_12	UNGR	TOTAL_EL
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	spa	Spanish; Castilian	0	0	0	0	0	0	0	2	2	3	6	5	8	11	0	37
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	ara	Arabic	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	6
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	mis	Uncoded languages (Other non-English languages)	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	ton	Tonga (Tonga Islands)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	spa	Spanish; Castilian	4	7	9	11	10	11	8	14	6	5	0	0	0	0	0	85
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	yue	Cantonese	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	mkh	Mon-Khmer languages (Cambodian)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	vie	Vietnamese	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	3
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	ara	Arabic	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	5
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	amh	Amharic	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	kor	Korean	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	sit	Other Sino-Tibetan languages (Taishanese)	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	vie	Vietnamese	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	por	Portuguese	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	ara	Arabic	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	cmn	Mandarin (Putonghua, Guoyu)	0	18	8	13	2	4	1	1	0	0	0	0	0	0	0	47
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	jpn	Japanese	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	4
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	spa	Spanish; Castilian	0	5	2	3	0	1	1	0	0	0	0	0	0	0	0	12
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	tir	Tigrinya	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	yor	Yoruba	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	ton	Tonga (Tonga Islands)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	yue	Cantonese	0	31	25	9	3	1	0	0	0	0	0	0	0	0	0	69
01100170125567	Alameda	Alameda County Office of Education	Urban Montessori Charter	yue	Cantonese	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170125567	Alameda	Alameda County Office of Education	Urban Montessori Charter	amh	Amharic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170125567	Alameda	Alameda County Office of Education	Urban Montessori Charter	pus	Pushto; Pashto	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	3
01100170125567	Alameda	Alameda County Office of Education	Urban Montessori Charter	spa	Spanish; Castilian	3	4	2	3	1	5	5	8	6	2	0	0	0	0	0	39
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	spa	Spanish; Castilian	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	5
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	ara	Arabic	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	spa	Spanish; Castilian	0	0	0	0	0	0	0	0	1	1	8	1	4	4	0	19
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	vie	Vietnamese	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	pus	Pushto; Pashto	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	mis	Uncoded languages (Other non-English languages)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
01100170130625	Alameda	Alameda County Office of Education	Alternatives in Action	spa	Spanish; Castilian	0	0	0	0	0	0	0	0	0	0	8	23	19	19	0	69
01100170130625	Alameda	Alameda County Office of Education	Alternatives in Action	mis	Uncoded languages (Other non-English languages)	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
01100170131581	Alameda	Alameda County Office of Education	Oakland Unity Middle	mis	Uncoded languages (Other non-English languages)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
01100170131581	Alameda	Alameda County Office of Education	Oakland Unity Middle	spa	Spanish; Castilian	0	0	0	0	0	0	0	17	15	11	0	0	0	0	0	43
01100170131581	Alameda	Alameda County Office of Education	Oakland Unity Middle	und	Undetermined	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	fre	French	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	per	Persian (Farsi)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	pus	Pushto; Pashto	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	cmn	Mandarin (Putonghua, Guoyu)	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	phi	Philippine languages	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	mis	Uncoded languages (Other non-English languages)	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	urd	Urdu	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	3
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	ara	Arabic	1	1	0	1	0	2	0	2	1	1	1	1	0	2	0	13
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	spa	Spanish; Castilian	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3
01100170136226	Alameda	Alameda County Office of Education	Opportunity Academy	spa	Spanish; Castilian	0	0	0	0	0	0	0	0	0	0	0	3	2	14	0	19
01100170136226	Alameda	Alameda County Office of Education	Opportunity Academy	ara	Arabic	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
01100170136226	Alameda	Alameda County Office of Education	Opportunity Academy	mkh	Mon-Khmer languages (Cambodian)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
01100170137448	Alameda	Alameda County Office of Education	Aurum Preparatory Academy	per	Persian (Farsi)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
01100170137448	Alameda	Alameda County Office of Education	Aurum Preparatory Academy	spa	Spanish; Castilian	0	0	0	0	0	0	0	18	11	10	0	0	0	0	0	39
01100170137448	Alameda	Alameda County Office of Education	Aurum Preparatory Academy	mis	Uncoded languages (Other non-English languages)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
01100170137448	Alameda	Alameda County Office of Education	Aurum Preparatory Academy	ara	Arabic	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
01100170138867	Alameda	Alameda County Office of Education	Hayward Collegiate Charter	hin	Hindi	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170138867	Alameda	Alameda County Office of Education	Hayward Collegiate Charter	spa	Spanish; Castilian	0	11	10	7	13	11	2	0	0	0	0	0	0	0	0	54
01100170138867	Alameda	Alameda County Office of Education	Hayward Collegiate Charter	vie	Vietnamese	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
01100176001788	Alameda	Alameda County Office of Education	Cox Academy	ton	Tonga (Tonga Islands)	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2
01100176001788	Alameda	Alameda County Office of Education	Cox Academy	ara	Arabic	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2
01100176001788	Alameda	Alameda County Office of Education	Cox Academy	mis	Uncoded languages (Other non-English languages)	0	0	1	1	2	0	2	0	0	0	0	0	0	0	0	6
01100176001788	Alameda	Alameda County Office of Education	Cox Academy	amh	Amharic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
01100176001788	Alameda	Alameda County Office of Education	Cox Academy	spa	Spanish; Castilian	23	44	30	31	39	42	33	0	0	0	0	0	0	0	0	242
01100176002000	Alameda	Alameda County Office of Education	Lazear Charter Academy	ara	Arabic	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	4
01100176002000	Alameda	Alameda County Office of Education	Lazear Charter Academy	spa	Spanish; Castilian	9	19	24	16	25	20	15	22	11	19	0	0	0	0	0	180
01100176002000	Alameda	Alameda County Office of Education	Lazear Charter Academy	tam	Tamil	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
01100176002000	Alameda	Alameda County Office of Education	Lazear Charter Academy	phi	Philippine languages	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
01100176002000	Alameda	Alameda County Office of Education	Lazear Charter Academy	mis	Uncoded languages (Other non-English languages)	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	5
